nome,idade,salario,departamento,faixa_etaria
Carlos,31,5320,RH,Adulto
Maria,53,3253,RH,Sênior
João,57,7681,TI,Sênior
João,59,2652,TI,Sênior
Carlos,28,6220,TI,Jovem
Maria,46,3533,TI,Sênior
Ana,28,2987,TI,Jovem
Maria,21,9119,RH,Jovem
Carlos,33,6364,TI,Adulto
Maria,51,9945,RH,Sênior
João,45,4863,TI,Sênior
Pedro,40,7849,TI,Sênior
Carlos,23,8527,Financeiro,Jovem
Pedro,56,8155,TI,Sênior
Carlos,55,3150,RH,Sênior
Maria,25,8923,TI,Jovem
Pedro,47,7692,TI,Sênior
Maria,36,7270,RH,Adulto
Pedro,37,5242,TI,Adulto
Maria,58,6269,RH,Sênior
Ana,20,6931,RH,Jovem
Pedro,42,6524,Financeiro,Sênior
João,54,3119,RH,Sênior
Carlos,39,9803,RH,Adulto
Carlos,38,9539,Financeiro,Adulto
Maria,28,3311,TI,Jovem
Carlos,41,7420,Financeiro,Sênior
Carlos,46,9842,Financeiro,Sênior
Carlos,33,4638,RH,Adulto
Pedro,22,8456,Financeiro,Jovem
Pedro,43,3970,RH,Sênior
Carlos,21,9902,Financeiro,Jovem
Maria,32,3493,TI,Adulto
Ana,41,2817,RH,Sênior
Ana,32,3422,TI,Adulto
Maria,59,8171,TI,Sênior
Ana,51,5968,RH,Sênior
João,27,9866,TI,Jovem
Ana,49,3229,Financeiro,Sênior
Carlos,32,4977,RH,Adulto
Ana,53,7890,Financeiro,Sênior
João,38,7005,RH,Adulto
Carlos,55,5705,Financeiro,Sênior
Carlos,53,4242,RH,Sênior
Ana,39,5401,RH,Adulto
Carlos,51,9821,Financeiro,Sênior
João,37,5824,TI,Adulto
Ana,52,4751,RH,Sênior
Carlos,60,4111,TI,Sênior
Pedro,40,5336,TI,Sênior
Carlos,29,3032,RH,Jovem
Carlos,24,4623,RH,Jovem
João,52,9127,RH,Sênior
João,20,9174,TI,Jovem
Ana,22,5260,RH,Jovem
Ana,45,5084,TI,Sênior
João,48,4064,RH,Sênior
João,21,6454,RH,Jovem
Carlos,31,5947,Financeiro,Adulto
Carlos,31,7616,Financeiro,Adulto
João,60,3637,RH,Sênior
João,46,5601,Financeiro,Sênior
Pedro,20,4220,TI,Jovem
Maria,43,8735,TI,Sênior
Carlos,30,6201,Financeiro,Adulto
Carlos,45,9560,Financeiro,Sênior
Ana,43,8703,TI,Sênior
Maria,51,4655,RH,Sênior
Ana,30,6828,TI,Adulto
João,42,5275,RH,Sênior
João,26,7128,TI,Jovem
Carlos,21,4053,RH,Jovem
Maria,58,8877,TI,Sênior
Ana,26,5237,RH,Jovem
Carlos,54,9951,Financeiro,Sênior
Maria,36,6993,RH,Adulto
Carlos,22,3163,RH,Jovem
Maria,37,9422,TI,Adulto
Ana,44,2683,RH,Sênior
Pedro,22,7964,Financeiro,Jovem
Pedro,32,2839,RH,Adulto
Carlos,54,4363,TI,Sênior
Pedro,25,9253,TI,Jovem
Ana,54,3594,RH,Sênior
Ana,40,3302,TI,Sênior
Carlos,49,3463,TI,Sênior
Pedro,42,5572,TI,Sênior
João,48,7049,Financeiro,Sênior
Pedro,40,5812,TI,Sênior
Ana,44,3699,RH,Sênior
Carlos,21,3227,RH,Jovem
João,47,9683,Financeiro,Sênior
Ana,38,2847,RH,Adulto
João,59,8849,TI,Sênior
João,42,6135,RH,Sênior
Maria,51,7899,Financeiro,Sênior
Pedro,43,3145,RH,Sênior
Ana,36,6895,RH,Adulto
Carlos,46,7295,RH,Sênior
Maria,25,6466,Financeiro,Jovem
Pedro,25,6719,TI,Jovem
Maria,30,8200,RH,Adulto
Carlos,49,9804,Financeiro,Sênior
João,55,8387,RH,Sênior
João,35,4068,TI,Adulto
João,23,6519,RH,Jovem
Maria,44,9395,RH,Sênior
Ana,40,4593,Financeiro,Sênior
João,21,3028,Financeiro,Jovem
Ana,40,3714,RH,Sênior
Ana,59,6071,RH,Sênior
João,50,6331,TI,Sênior
Pedro,36,6068,RH,Adulto
Maria,45,6633,Financeiro,Sênior
João,27,4639,RH,Jovem
Maria,29,4571,RH,Jovem
Pedro,20,2744,RH,Jovem
João,29,4621,TI,Jovem
Maria,51,7494,TI,Sênior
Pedro,43,9610,Financeiro,Sênior
Carlos,50,9311,TI,Sênior
Maria,48,7162,RH,Sênior
Maria,59,8379,TI,Sênior
João,33,9095,TI,Adulto
Pedro,49,7517,RH,Sênior
Maria,24,7550,RH,Jovem
João,32,3540,TI,Adulto
Carlos,57,8202,TI,Sênior
Carlos,26,4754,TI,Jovem
Pedro,37,7799,RH,Adulto
Carlos,35,5632,RH,Adulto
Maria,21,5270,RH,Jovem
João,46,5761,RH,Sênior
João,32,4489,Financeiro,Adulto
Carlos,28,9748,TI,Jovem
Carlos,33,7295,TI,Adulto
Ana,22,9284,TI,Jovem
Carlos,22,3728,RH,Jovem
Pedro,20,4484,RH,Jovem
Carlos,37,5393,RH,Adulto
Carlos,30,3961,TI,Adulto
Ana,51,6037,Financeiro,Sênior
Pedro,47,9105,TI,Sênior
Carlos,28,3838,TI,Jovem
Carlos,22,6781,RH,Jovem
Maria,22,5875,TI,Jovem
Carlos,26,4256,RH,Jovem
Ana,36,8904,TI,Adulto
Carlos,56,2899,TI,Sênior
Maria,50,3218,Financeiro,Sênior
Maria,50,4997,Financeiro,Sênior
Ana,53,3337,RH,Sênior
João,26,5695,TI,Jovem
João,26,7689,TI,Jovem
Carlos,28,9892,RH,Jovem
Ana,27,5537,Financeiro,Jovem
João,21,6838,RH,Jovem
Carlos,41,8504,RH,Sênior
Maria,56,5074,RH,Sênior
Pedro,40,7165,TI,Sênior
Carlos,50,3796,RH,Sênior
Carlos,28,4798,TI,Jovem
Carlos,21,5662,TI,Jovem
Ana,27,8545,RH,Jovem
João,59,4611,TI,Sênior
Pedro,34,6085,TI,Adulto
Pedro,55,8287,RH,Sênior
João,50,7950,TI,Sênior
Ana,48,3520,RH,Sênior
Pedro,60,8865,TI,Sênior
Pedro,56,9409,RH,Sênior
João,53,9047,RH,Sênior
Ana,29,6068,Financeiro,Jovem
Maria,47,6564,Financeiro,Sênior
João,34,6627,RH,Adulto
Ana,28,8643,TI,Jovem
Ana,29,6595,TI,Jovem
Carlos,26,8460,RH,Jovem
Maria,25,5332,TI,Jovem
Ana,36,5463,TI,Adulto
Ana,26,2759,RH,Jovem
Carlos,46,4583,Financeiro,Sênior
Pedro,23,4815,TI,Jovem
Maria,56,9026,RH,Sênior
Maria,33,2817,RH,Adulto
Ana,23,5834,RH,Jovem
Carlos,34,5063,RH,Adulto
Pedro,20,5942,Financeiro,Jovem
João,43,8127,RH,Sênior
Carlos,47,8945,TI,Sênior
Pedro,20,5400,RH,Jovem
Maria,57,3651,TI,Sênior
Ana,60,5062,TI,Sênior
João,45,4579,TI,Sênior
João,52,3292,RH,Sênior
Carlos,33,6261,RH,Adulto
Carlos,25,8163,RH,Jovem
Carlos,50,5659,TI,Sênior
Ana,44,5366,RH,Sênior
Maria,33,8587,RH,Adulto
Carlos,52,8822,RH,Sênior
Maria,27,3716,Financeiro,Jovem
Pedro,37,4220,RH,Adulto
Pedro,30,7974,RH,Adulto
Carlos,48,5803,RH,Sênior
Maria,59,9577,RH,Sênior
Ana,56,7331,Financeiro,Sênior
João,42,5194,TI,Sênior
João,24,6433,Financeiro,Jovem
Carlos,55,4668,RH,Sênior
Ana,39,8875,TI,Adulto
Ana,26,2714,RH,Jovem
João,28,7561,RH,Jovem
João,45,3401,RH,Sênior
Carlos,60,5341,TI,Sênior
Carlos,44,9290,TI,Sênior
Carlos,22,6405,TI,Jovem
Pedro,36,7999,RH,Adulto
Ana,51,9032,RH,Sênior
Carlos,54,8887,RH,Sênior
João,20,7861,RH,Jovem
Ana,41,8034,TI,Sênior
Carlos,52,3777,RH,Sênior
Maria,43,5195,TI,Sênior
Ana,43,9461,Financeiro,Sênior
Carlos,20,8139,Financeiro,Jovem
Ana,22,9039,TI,Jovem
João,22,9936,TI,Jovem
Carlos,26,4681,Financeiro,Jovem
Pedro,47,7107,Financeiro,Sênior
João,32,6665,TI,Adulto
João,44,4871,RH,Sênior
João,45,4452,RH,Sênior
Maria,23,5729,TI,Jovem
Ana,33,7050,Financeiro,Adulto
Carlos,36,9590,TI,Adulto
Ana,31,8787,Financeiro,Adulto
João,50,8319,RH,Sênior
Ana,54,3307,RH,Sênior
Maria,43,3770,Financeiro,Sênior
Pedro,58,8148,TI,Sênior
Maria,54,5764,RH,Sênior
Carlos,34,9772,RH,Adulto
Carlos,24,8306,Financeiro,Jovem
Ana,32,4978,Financeiro,Adulto
João,29,4118,TI,Jovem
Maria,32,6729,Financeiro,Adulto
Pedro,56,9084,Financeiro,Sênior
Carlos,31,3502,TI,Adulto
Pedro,23,3257,TI,Jovem
Pedro,44,2848,Financeiro,Sênior
Maria,20,2881,TI,Jovem
Ana,27,9026,TI,Jovem
Carlos,47,8970,TI,Sênior
Ana,29,4442,RH,Jovem
Ana,48,4619,RH,Sênior
Ana,21,5813,RH,Jovem
João,26,7290,Financeiro,Jovem
Maria,60,3076,TI,Sênior
Ana,47,9220,TI,Sênior
Ana,44,7852,TI,Sênior
Ana,54,7306,RH,Sênior
João,48,9170,TI,Sênior
Maria,30,8142,RH,Adulto
Ana,43,4712,Financeiro,Sênior
Pedro,28,3953,RH,Jovem
Carlos,20,9466,Financeiro,Jovem
Carlos,28,9042,Financeiro,Jovem
Ana,41,6291,Financeiro,Sênior
Ana,30,3272,Financeiro,Adulto
Maria,53,5139,Financeiro,Sênior
Maria,30,8801,TI,Adulto
Pedro,45,9226,RH,Sênior
Ana,25,2807,RH,Jovem
João,23,7966,TI,Jovem
Ana,53,9327,Financeiro,Sênior
Maria,26,9847,TI,Jovem
Carlos,48,7588,Financeiro,Sênior
Carlos,25,6399,Financeiro,Jovem
Maria,35,9543,TI,Adulto
João,29,5259,TI,Jovem
João,26,4186,TI,Jovem
Maria,20,6056,RH,Jovem
Maria,26,8713,TI,Jovem
Pedro,34,9071,RH,Adulto
João,57,8351,TI,Sênior
Carlos,60,3979,Financeiro,Sênior
João,35,6755,RH,Adulto
Maria,34,6105,RH,Adulto
Maria,24,4358,TI,Jovem
João,57,6437,Financeiro,Sênior
Maria,52,6507,RH,Sênior
Maria,36,9436,TI,Adulto
Ana,57,3180,TI,Sênior
Maria,57,6634,Financeiro,Sênior
Maria,43,6616,TI,Sênior
Maria,49,7137,TI,Sênior
Pedro,59,4871,TI,Sênior
João,26,3859,RH,Jovem
Pedro,50,6545,Financeiro,Sênior
Ana,54,9208,TI,Sênior
Ana,47,2590,Financeiro,Sênior
Ana,31,4918,RH,Adulto
Pedro,26,6628,Financeiro,Jovem
João,44,4795,TI,Sênior
Pedro,39,6351,RH,Adulto
Carlos,58,3146,RH,Sênior
Ana,28,7807,RH,Jovem
Carlos,58,8121,Financeiro,Sênior
Carlos,31,6115,RH,Adulto
João,28,8067,Financeiro,Jovem
Pedro,38,8146,RH,Adulto
Pedro,50,6842,RH,Sênior
Carlos,28,9036,TI,Jovem
Pedro,50,7033,Financeiro,Sênior
Ana,28,6698,TI,Jovem
Maria,52,5121,RH,Sênior
Pedro,50,9659,TI,Sênior
Ana,44,4640,TI,Sênior
Carlos,36,8978,TI,Adulto
João,56,4520,Financeiro,Sênior
Carlos,32,7620,RH,Adulto
João,42,9181,TI,Sênior
Carlos,37,9195,Financeiro,Adulto
Pedro,59,9817,RH,Sênior
Ana,42,5288,RH,Sênior
Pedro,47,7314,RH,Sênior
Maria,59,4675,TI,Sênior
Carlos,40,6384,RH,Sênior
João,36,7342,TI,Adulto
Pedro,47,9015,RH,Sênior
Carlos,41,2970,Financeiro,Sênior
Ana,36,6465,TI,Adulto
Maria,43,4798,Financeiro,Sênior
João,43,5923,Financeiro,Sênior
João,51,3141,Financeiro,Sênior
Carlos,52,8770,RH,Sênior
Pedro,40,3858,RH,Sênior
Pedro,55,4895,TI,Sênior
Maria,24,2721,RH,Jovem
João,53,9530,TI,Sênior
João,46,5945,Financeiro,Sênior
João,34,5091,RH,Adulto
João,58,3857,TI,Sênior
João,30,4312,Financeiro,Adulto
Carlos,29,4429,RH,Jovem
Ana,39,9415,RH,Adulto
Maria,33,4089,RH,Adulto
Maria,52,6468,RH,Sênior
João,37,7085,TI,Adulto
Ana,33,6309,TI,Adulto
Pedro,54,9221,TI,Sênior
Maria,41,3006,TI,Sênior
Maria,49,5880,RH,Sênior
João,40,4313,TI,Sênior
João,37,3606,TI,Adulto
Maria,43,5847,Financeiro,Sênior
Carlos,28,5791,Financeiro,Jovem
Maria,30,9631,RH,Adulto
Maria,22,3939,RH,Jovem
João,49,9228,Financeiro,Sênior
Pedro,56,9369,TI,Sênior
João,22,4848,RH,Jovem
Carlos,45,7994,TI,Sênior
Maria,50,5489,TI,Sênior
Ana,55,3489,Financeiro,Sênior
Maria,23,7475,RH,Jovem
Pedro,47,6555,RH,Sênior
Ana,45,7406,TI,Sênior
Carlos,37,7447,RH,Adulto
João,35,4206,RH,Adulto
João,52,8560,RH,Sênior
João,34,3070,RH,Adulto
Maria,48,5755,TI,Sênior
João,54,5625,Financeiro,Sênior
Carlos,54,3284,RH,Sênior
Ana,54,6945,RH,Sênior
Maria,32,3816,TI,Adulto
Ana,37,5017,TI,Adulto
Carlos,24,5006,TI,Jovem
Carlos,24,6694,Financeiro,Jovem
João,22,4096,TI,Jovem
Maria,49,9563,TI,Sênior
João,24,3754,Financeiro,Jovem
João,39,7473,RH,Adulto
Maria,20,9561,RH,Jovem
Pedro,58,7550,RH,Sênior
Pedro,58,9548,RH,Sênior
Ana,46,4894,TI,Sênior
Carlos,22,4706,Financeiro,Jovem
Maria,22,2901,RH,Jovem
Pedro,23,5431,TI,Jovem
Carlos,49,3061,TI,Sênior
Ana,41,5522,TI,Sênior
João,52,5750,RH,Sênior
Ana,42,6678,TI,Sênior
Maria,52,8455,Financeiro,Sênior
Ana,20,4550,TI,Jovem
Carlos,59,5453,TI,Sênior
Maria,42,8768,Financeiro,Sênior
Pedro,47,3977,TI,Sênior
Carlos,24,5663,Financeiro,Jovem
Carlos,29,8117,TI,Jovem
Carlos,21,7575,TI,Jovem
Pedro,41,8276,Financeiro,Sênior
Maria,40,5042,TI,Sênior
Maria,36,8254,TI,Adulto
Maria,37,5398,TI,Adulto
Carlos,29,3854,TI,Jovem
Maria,24,9418,RH,Jovem
Maria,53,6156,TI,Sênior
Ana,54,3451,Financeiro,Sênior
Maria,30,2656,TI,Adulto
Ana,40,7073,TI,Sênior
Carlos,49,7751,RH,Sênior
João,50,6253,TI,Sênior
Ana,21,8544,TI,Jovem
Maria,54,3216,TI,Sênior
Ana,53,3096,TI,Sênior
Carlos,34,2714,RH,Adulto
Pedro,42,4608,RH,Sênior
Carlos,25,4128,TI,Jovem
Carlos,38,3588,Financeiro,Adulto
Maria,47,5185,TI,Sênior
João,57,8694,RH,Sênior
João,35,2989,RH,Adulto
João,27,9673,TI,Jovem
Carlos,56,6598,Financeiro,Sênior
Ana,53,8685,Financeiro,Sênior
João,46,7722,RH,Sênior
João,34,3878,Financeiro,Adulto
Maria,48,2761,TI,Sênior
Pedro,30,6370,TI,Adulto
Maria,33,3325,TI,Adulto
Pedro,49,5974,RH,Sênior
Ana,43,6523,TI,Sênior
Carlos,49,3066,RH,Sênior
João,26,3481,TI,Jovem
João,58,6611,RH,Sênior
João,31,8025,RH,Adulto
Ana,51,2860,TI,Sênior
Pedro,48,5355,Financeiro,Sênior
Carlos,57,6243,RH,Sênior
Maria,20,9606,TI,Jovem
João,36,9725,TI,Adulto
Carlos,32,4048,TI,Adulto
Ana,53,7639,RH,Sênior
Maria,25,5183,TI,Jovem
Maria,50,4315,RH,Sênior
Carlos,42,5463,RH,Sênior
Ana,44,3596,TI,Sênior
Pedro,59,3257,TI,Sênior
João,47,7354,Financeiro,Sênior
Ana,59,3363,TI,Sênior
Pedro,50,7677,TI,Sênior
Maria,55,4624,TI,Sênior
Maria,21,9009,TI,Jovem
Maria,49,6502,TI,Sênior
Pedro,20,3037,TI,Jovem
João,35,6853,TI,Adulto
Maria,29,5077,TI,Jovem
